Time,Rainfall,MaxTemperature,Humidity,Cases
2013-w7,0.552857143,30.55555556,83.2,18
2013-w8,15.40142857,30.55555556,85.77142857,28
2013-w9,0.1,30,82.64285714,23
2013-w10,0.721428571,30,83.67142857,9
2013-w11,0.192857143,31.11111111,78.58571429,13
2013-w12,0.874285714,31.66666667,77.88571429,11
2013-w13,0.818571429,32.22222222,81.6,16
2013-w14,2.04,32.77777778,77.74285714,9
2013-w15,0.242857143,32.22222222,78.01428571,7
2013-w16,2.732857143,32.77777778,77.71428571,13
2013-w17,1.684285714,32.77777778,74.78571429,9
2013-w18,0.28,33.88888889,75.21428571,18
2013-w19,6.821428571,32.77777778,81.38571429,14
2013-w20,4.017142857,32.77777778,77.17142857,17
2013-w21,2.024285714,32.77777778,78.18571429,13
2013-w22,4.428571429,33.33333333,78.35714286,24
2013-w23,13.76714286,32.77777778,82.38571429,32
2013-w24,18.14714286,32.77777778,83.21428571,48
2013-w25,7.455714286,32.22222222,84.08571429,52
2013-w26,10.08142857,32.22222222,84.38571429,58
2013-w27,4.708571429,31.66666667,85.94285714,60
2013-w28,7.52,32.22222222,81.44285714,69
2013-w29,13.08428571,31.66666667,83.92857143,82
2013-w30,16.8,31.66666667,83.12857143,69
2013-w31,18.77285714,32.22222222,83.51428571,63
2013-w32,14.48571429,31.66666667,85.54285714,57
2013-w33,6.922857143,32.22222222,80.17142857,67
2013-w34,18.06,32.22222222,81.77142857,38
2013-w35,1.221428571,32.77777778,82.7,31
2013-w36,8.314285714,32.77777778,80.58571429,33
2013-w37,9.63,31.66666667,85.48571429,32
2013-w38,15.75142857,32.77777778,82.92857143,28
2013-w39,8.354285714,32.22222222,83.47142857,30
2013-w40,6.601428571,32.77777778,80.85714286,34
2013-w41,6.261428571,32.77777778,80.7,29
2013-w42,3.587142857,31.66666667,81.01428571,14
2013-w43,2.474285714,31.66666667,79.15714286,18
2013-w44,2.695714286,31.66666667,77.65714286,13
2013-w45,16.76428571,35,81.67142857,8
2013-w46,2.111428571,38.88888889,80.32857143,16
2013-w47,9.121428571,31.11111111,78.2,10
2013-w48,1.228571429,37.22222222,80.91428571,9
2013-w49,3.062857143,31.66666667,81.81428571,6
2013-w50,1.258571429,32.22222222,80.37142857,4
2013-w51,2.498571429,32.22222222,82.54285714,11
2013-w52,1.304285714,31.11111111,87.22857143,10
2014-w1,0.854285714,29.44444444,85.41428571,7
2014-w2,12.63,30,83.15714286,10
2014-w3,2.77,28.33333333,75.94285714,6
2014-w4,0,29.44444444,73.92857143,7
2014-w5,10.80857143,29.44444444,81.18571429,5
2014-w6,0.334285714,30,83.64285714,7
2014-w7,0.051428571,30.55555556,79.02857143,4
2014-w8,0.078571429,30,76.94285714,10
2014-w9,0,30,74.71428571,6
2014-w10,0,30,76.01428571,2
2014-w11,14.13,31.11111111,81.54285714,9
2014-w12,1.76,31.66666667,81.21428571,1
2014-w13,0.098571429,31.11111111,81.64285714,5
2014-w14,0,32.77777778,77.74285714,2
2014-w15,12.27857143,31.66666667,80.62857143,5
2014-w16,9.418571429,30.55555556,81.15714286,2
2014-w17,6.658571429,32.22222222,79.22857143,5
2014-w18,0.334285714,32.77777778,76.38571429,9
2014-w19,1.93,33.88888889,77,6
2014-w20,2.288571429,33.88888889,75.94285714,10
2014-w21,3.827142857,33.88888889,77.77142857,4
2014-w22,5.415714286,33.33333333,78,6
2014-w23,5.908571429,33.33333333,80.97142857,7
2014-w24,11.97285714,32.77777778,81.52857143,14
2014-w25,10.95285714,32.77777778,83.31428571,21
2014-w26,14.90857143,32.77777778,80.9,56
2014-w27,21.02,32.77777778,81.55714286,28
2014-w28,15.96,32.77777778,83.3,35
2014-w29,18.32857143,32.22222222,84.24285714,44
2014-w30,13.21714286,32.22222222,83.82857143,45
2014-w31,8.64,31.11111111,80.84285714,47
2014-w32,0.42,32.77777778,76.58571429,51
2014-w33,11.76857143,32.77777778,81.65714286,43
2014-w34,7.96,31.66666667,86.5,52
2014-w35,10.09,32.22222222,83.47142857,42
2014-w36,21.60142857,31.66666667,85.68571429,36
2014-w37,14.82714286,32.22222222,83.27142857,24
2014-w38,11.28142857,32.22222222,82.41428571,26
2014-w39,3.361428571,32.22222222,80.91428571,18
2014-w40,10.43,32.22222222,81.14285714,9
2014-w41,21.38714286,31.66666667,86.17142857,13
2014-w42,5.838571429,32.22222222,84.68571429,8
2014-w43,1.368571429,31.66666667,81.81428571,3
2014-w44,1.141428571,32.77777778,79.32857143,2
2014-w45,0.032857143,31.66666667,73.18571429,8
2014-w46,0.954285714,32.22222222,81.87142857,5
2014-w47,0.498571429,32.22222222,80.97142857,3
2014-w48,10.49714286,32.77777778,83.84285714,7
2014-w49,6.517142857,31.66666667,82.5,1
2014-w50,2.232857143,31.66666667,84.87142857,6
2014-w51,2.631428571,31.66666667,83.81428571,2
2014-w52,7.89,30.55555556,84.51428571,3
2015-w1,0.75,29.44444444,84.18571429,13
2015-w2,0.662857143,29.44444444,82.25714286,5
2015-w3,1.39,29.44444444,82.65714286,0
2015-w4,2.738571429,30,81.75714286,5
2015-w5,0.431428571,29.44444444,80.84285714,8
2015-w6,0.117142857,29.44444444,81.85714286,5
2015-w7,0.65,30,82.07142857,6
2015-w8,0.144285714,30.55555556,76.64285714,2
2015-w9,0.241428571,30.55555556,81.07142857,3
2015-w10,0.017142857,30,80.48571429,9
2015-w11,0.058571429,30,75.15714286,8
2015-w12,0.131428571,30,81.12857143,5
2015-w13,0.428571429,32.22222222,80,2
2015-w14,0.144285714,31.11111111,78.35714286,8
2015-w15,0.864285714,31.66666667,79.01428571,5
2015-w16,0.425714286,32.22222222,78.21428571,1
2015-w17,0.528571429,32.22222222,78.6,3
2015-w18,4.121428571,33.33333333,78.15714286,6
2015-w19,0.288571429,32.77777778,76.68571429,4
2015-w20,0.535714286,32.77777778,76.31428571,11
2015-w21,2.105714286,33.33333333,76.67142857,5
2015-w22,1.432857143,34.44444444,74.21428571,4
2015-w23,3.26,34.44444444,77.58571429,5
2015-w24,7.091428571,33.33333333,80.48571429,7
2015-w25,13.26,32.22222222,80.94285714,7
2015-w26,13.66571429,32.22222222,80.35714286,13
2015-w27,27.32857143,32.22222222,81.55714286,16
2015-w28,9.03,33.33333333,82.94285714,12
2015-w29,2.004285714,32.77777778,78.88571429,30
2015-w30,5.761428571,32.77777778,79.58571429,16
2015-w31,9.114285714,32.22222222,81.52857143,16
2015-w32,14.23285714,32.22222222,84.47142857,16
2015-w33,5.995714286,32.22222222,80.94285714,12
2015-w34,6.282857143,32.77777778,83.37142857,7
2015-w35,7.655714286,32.22222222,80.05714286,15
2015-w36,9.517142857,32.77777778,82.87142857,19
2015-w37,13.01571429,32.77777778,82.74285714,15
2015-w38,8.49,32.22222222,80.27142857,24
2015-w39,11.75714286,32.22222222,80.6,20
2015-w40,4.832857143,32.77777778,86.07142857,27
2015-w41,2.088571429,32.22222222,80.35714286,20
2015-w42,5.451428571,32.77777778,78.42857143,14
2015-w43,1.328571429,56.11111111,80.31428571,13
2015-w44,1.472857143,32.77777778,82.31428571,18
2015-w45,2.727142857,32.77777778,80.67142857,14
2015-w46,0.592857143,39.44444444,80,19
2015-w47,0.708571429,33.33333333,81.18571429,19
2015-w48,0.604285714,32.22222222,82,22
2015-w49,1.398571429,31.66666667,81.61428571,8
2015-w50,1.217142857,31.66666667,81.67142857,8
2015-w51,7.645714286,31.11111111,84.15714286,6
2015-w52,3.922857143,31.11111111,82.94285714,3
2016-w1,0.8636,32.77777778,81.67142857,19
2016-w2,0,31.66666667,81.68571429,23
2016-w3,0,31.11111111,80.4,31
2016-w4,10.668,30.55555556,85.98571429,26
2016-w5,143.764,30.55555556,84.68,10
2016-w6,4.826,31.11111111,83.51428571,11
2016-w7,3.556,30,82.97142857,10
2016-w8,2.794,31.11111111,82.08571429,18
2016-w9,1.6256,31.66666667,83.17142857,12
2016-w10,0,32.22222222,80.57142857,14
2016-w11,0,32.22222222,79.4,11
2016-w12,0,32.77777778,76.08571429,8
2016-w13,0,32.77777778,77.925,5
2016-w14,0,32.77777778,77.88571429,13
2016-w15,0.1905,33.88888889,79.04285714,7
2016-w16,0,33.33333333,76.32857143,8
2016-w17,2.7432,33.88888889,76.18571429,8
2016-w18,0,33.88888889,74.72857143,8
2016-w19,0,33.88888889,75.22857143,6
2016-w20,1.23444,35.55555556,77.45714286,13
2016-w21,9.906,33.33333333,80.22857143,10
2016-w22,145.796,34.44444444,79.54285714,9
2016-w23,148.844,33.33333333,80.81428571,12
2016-w24,14.224,32.77777778,79.78571429,7
2016-w25,7.366,32.77777778,84.05714286,20
2016-w26,147.574,32.77777778,82.25,12
2016-w27,8.89,32.22222222,81.84285714,20
2016-w28,0.36322,33.33333333,80.24285714,31
2016-w29,3.91922,32.77777778,78.91428571,53
2016-w30,11.3284,33.33333333,81.6,104
2016-w31,3.62966,32.22222222,83.07142857,129
2016-w32,0.65278,32.77777778,80.81428571,122
2016-w33,7.07644,33.33333333,81.11428571,159
2016-w34,0.79756,32.77777778,82.55,145
2016-w35,0.07366,32.77777778,79.41428571,141
2016-w36,150.58644,32.22222222,84.07142857,89
2016-w37,150.622,33.33333333,80,92
2016-w38,19.73834,32.22222222,82.91428571,104
2016-w39,3.66522,32.77777778,83.44285714,68
2016-w40,18.50644,33.33333333,81.82857143,61
2016-w41,6.16966,31.66666667,83.52857143,27
2016-w42,4.09956,32.77777778,81.98571429,41
2016-w43,27.79522,32.22222222,82.41428571,27
2016-w44,19.44878,31.11111111,80.57142857,26
2016-w45,143.002,32.22222222,81.21428571,19
2016-w46,1.81356,31.66666667,83.37142857,13
2016-w47,18.43278,32.22222222,82.88181818,17
2016-w48,141.732,32.22222222,80.67142857,14
2016-w49,15.16634,32.22222222,84.41428571,13
2016-w50,160.274,31.11111111,86.02857143,4
2016-w51,1.74244,30.55555556,82.05714286,10
2017-w1,142.85722,31.11111111,84.34285714,1
2017-w2,9.61644,28.33333333,84.52857143,7
2017-w3,20.64766,29.44444444,89.57142857,13
2017-w4,143.256,30.55555556,86.8375,9
2017-w5,1.48844,31.11111111,83.71428571,7
2017-w6,0.79756,30,84.7,8
2017-w7,2.286,30,80.05714286,6
2017-w8,3.302,30.55555556,82.18571429,6
2017-w9,0,31.11111111,84.98571429,6
2017-w10,0.28956,30,83.58571429,4
2017-w11,142.494,31.11111111,78.57142857,3
2017-w12,0.07366,32.77777778,83.92857143,3
2017-w13,3.08356,32.22222222,80.11428571,2
2017-w14,146.01444,32.22222222,80.95714286,1
2017-w15,0,32.22222222,80.7,3
2017-w16,145.32356,32.77777778,80.42857143,0
2017-w17,0,32.77777778,80.93181818,2
2017-w18,6.27634,43.33333333,75.4,4
2017-w19,2.35966,32.77777778,76.78571429,2
2017-w20,7.07644,32.77777778,79.61428571,0
2017-w21,11.71956,32.77777778,80.95714286,0
2017-w22,10.48766,33.88888889,82.25714286,3
2017-w23,10.81278,32.77777778,80.32857143,1
2017-w24,2.43078,33.88888889,79.55714286,3
2017-w25,15.34922,33.33333333,78.7625,2
2017-w26,15.85722,32.77777778,82.07142857,3
2017-w27,10.74166,32.77777778,80.85714286,4
2017-w28,10.44956,31.66666667,81.61428571,7
2017-w29,19.88566,32.22222222,84.2,10
2017-w30,0.58166,33.33333333,83.51428571,13
2017-w31,0.65278,33.88888889,82.15714286,17
2017-w32,10.95756,33.33333333,80.28571429,24
2017-w33,1.16078,33.33333333,80.7,24
2017-w34,151.13,32.22222222,80.7,26
2017-w35,6.71322,33.33333333,82.5,28
2017-w36,7.07644,34.44444444,80.75714286,18
2017-w37,155.702,32.77777778,79.81428571,14
2017-w38,146.812,33.88888889,84.45909091,15
2017-w39,132.588,33.33333333,83.11428571,13
2017-w40,135.382,32.77777778,82.11428571,10
2017-w41,144.018,32.77777778,82.28571429,13
2017-w42,30.51556,32.77777778,83.62857143,7
2017-w43,1.70434,32.22222222,85.45714286,9
2017-w44,32.1818,32.22222222,80.92857143,13
2017-w45,1.04648,32.77777778,83.65714286,3
2017-w46,5.1562,32.77777778,82.6,5
