Time,Rainfall,MaxTemperature,AverageTemperature,MinTemperature,Wind,Humidity,Cases
2012-w19,5.462857143,33.33333333,29.03333333,25.55555556,2.61,81.61428571,20
2012-w20,5.904285714,32.77777778,28.60555556,25,1.91,82.47142857,44
2012-w21,6.998571429,32.77777778,28.86111111,25.55555556,2.23,81.87142857,49
2012-w22,13.83428571,32.22222222,28,25,2.86,83.6,69
2012-w23,10.49142857,32.22222222,26.96111111,24.44444444,8.4,83.94285714,80
2012-w24,8.262857143,32.77777778,27.94444444,24.44444444,4.27,81.21428571,103
2012-w25,4.455714286,33.88888889,29.05,24.44444444,6.4,79.95714286,99
2012-w26,13.02857143,32.77777778,27.90555556,25,4.44,82.85714286,108
2012-w27,8.997142857,32.22222222,27.00555556,24.44444444,3.93,86.24285714,125
2012-w28,10.80285714,31.66666667,27.82777778,24.44444444,3.1,85.24285714,101
2012-w29,10.87285714,32.22222222,28.26111111,25,3.56,82.31428571,100
2012-w30,18.25857143,32.22222222,27.96666667,25.55555556,3.73,84.14285714,73
2012-w31,14.23571429,32.77777778,27.71111111,23.88888889,5.32,83.88571429,122
2012-w32,5.377142857,33.33333333,28.82777778,25.55555556,5.28,80.54285714,93
2012-w33,4.04,32.22222222,28.44444444,25,5.7,80.08571429,85
2012-w34,7.202857143,32.22222222,26.97777778,24.44444444,4.45,81.84285714,59
2012-w35,10.03571429,32.77777778,26.87777778,25.55555556,5.51,81.7,54
2012-w36,10.45714286,31.66666667,27.61666667,24.44444444,4.67,84.62857143,54
2012-w37,19.22857143,31.66666667,26.39444444,24.44444444,7.58,82.75714286,41
2012-w38,10.86571429,31.11111111,27.77222222,25,4.16,84.21428571,41
2012-w39,7.724285714,32.77777778,28.16111111,25,3.95,82.48571429,34
2012-w40,25.07857143,32.22222222,27.07777778,25,6.16,81.27142857,28
2012-w41,6.31,32.22222222,27.23333333,25,8.08,79.72857143,33
2012-w42,3.9,38.88888889,28.40555556,25,5.2,75.42857143,34
2012-w43,9.635714286,31.11111111,24.49444444,25,13.56,78.52857143,19
2012-w44,0.6857142857,32.22222222,28.60555556,25.55555556,6.74,81.17142857,32
2012-w45,1.081428571,32.22222222,28.25555556,25.55555556,7.2,83.02857143,34
2012-w46,3.912857143,31.66666667,27.76666667,25,8.82,86.14285714,27
2012-w47,1.754285714,31.11111111,27.44444444,25.55555556,7.47,82.82857143,24
2012-w48,0.1457142857,31.11111111,28.26666667,25.55555556,7.47,81.74285714,31
2012-w49,5.974285714,31.11111111,27.02777778,25,8.73,80.38571429,29
2012-w50,2.782857143,31.11111111,27.27777778,25,10.57,81.41428571,21
2012-w51,1.274285714,31.66666667,27.76666667,22.77777778,9.49,80.82857143,19
2012-w52,6.915714286,31.66666667,25.51666667,24.44444444,13.42,77.1,33
2013-w1,4.141428571,31.11111111,27.55555556,25.55555556,8.38,85.14285714,17
2013-w2,7.777142857,29.44444444,26.90555556,24.44444444,9.24,87.28571429,23
2013-w3,1.334285714,30.55555556,26.56111111,25,10.51,80.14285714,19
2013-w4,3.752857143,29.44444444,26.69444444,25,7.8,80.07142857,18
2013-w5,3.251428571,30,26.92777778,24.44444444,9.34,82.78571429,11
2013-w6,0.5557142857,30.55555556,26.68888889,25.55555556,8.08,81.2,17
2013-w7,0.5528571429,30.55555556,27.36111111,25,8.8,83.2,18
2013-w8,15.40142857,30.55555556,26.91666667,24.44444444,9.28,85.77142857,28
2013-w9,0.1,30,27.58333333,25.55555556,6.85,82.64285714,23
2013-w10,0.7214285714,30,26.89444444,24.44444444,9.21,83.67142857,9
2013-w11,0.1928571429,31.11111111,27.86666667,25.55555556,4.89,78.58571429,13
2013-w12,0.8742857143,31.66666667,27.49444444,25.55555556,10.06,77.88571429,11
2013-w13,0.8185714286,32.22222222,28.86666667,25.55555556,5.67,81.6,16
2013-w14,2.04,32.77777778,27.81111111,25.55555556,9.63,77.74285714,9
2013-w15,0.2428571429,32.22222222,29.17777778,26.66666667,5.39,78.01428571,7
2013-w16,2.732857143,32.77777778,29.1,20.55555556,3.25,77.71428571,13
2013-w17,1.684285714,32.77777778,28.42777778,25.55555556,5.3,74.78571429,9
2013-w18,0.28,33.88888889,29.72777778,25.55555556,3.74,75.21428571,18
2013-w19,6.821428571,32.77777778,28.58888889,26.11111111,5.29,81.38571429,14
2013-w20,4.017142857,32.77777778,27.83888889,25,3.88,77.17142857,17
2013-w21,2.024285714,32.77777778,29.26666667,25,3.53,78.18571429,13
2013-w22,4.428571429,33.33333333,29.22777778,25.55555556,4.94,78.35714286,24
2013-w23,13.76714286,32.77777778,28.73333333,25,4.16,82.38571429,32
2013-w24,18.14714286,32.77777778,27.77777778,25,4.17,83.21428571,48
2013-w25,7.455714286,32.22222222,27.76666667,25.55555556,5.24,84.08571429,52
2013-w26,10.08142857,32.22222222,28.04444444,23.88888889,4.68,84.38571429,58
2013-w27,4.708571429,31.66666667,27.57222222,23.33333333,4.08,85.94285714,60
2013-w28,7.52,32.22222222,28.27222222,25,4.12,81.44285714,69
2013-w29,13.08428571,31.66666667,27.93888889,25,3.94,83.92857143,82
2013-w30,16.8,31.66666667,26.67777778,25,4.18,83.12857143,69
2013-w31,18.77285714,32.22222222,27.36111111,25,6.06,83.51428571,63
2013-w32,14.48571429,31.66666667,27.48333333,25,6.41,85.54285714,57
2013-w33,6.922857143,32.22222222,28.25555556,25,4.78,80.17142857,67
2013-w34,18.06,32.22222222,27.81666667,25,5.07,81.77142857,38
2013-w35,1.221428571,32.77777778,27.73888889,24.44444444,3.99,82.7,31
2013-w36,8.314285714,32.77777778,28.48888889,25,4.42,80.58571429,33
2013-w37,9.63,31.66666667,27.43888889,24.44444444,3.92,85.48571429,32
2013-w38,15.75142857,32.77777778,27.57777778,25,4.75,82.92857143,28
2013-w39,8.354285714,32.22222222,27.64444444,25,3.02,83.47142857,30
2013-w40,6.601428571,32.77777778,28.13888889,25,5.04,80.85714286,34
2013-w41,6.261428571,32.77777778,28.01111111,23.88888889,5.15,80.7,29
2013-w42,3.587142857,31.66666667,27.66111111,25,4.42,81.01428571,14
2013-w43,2.474285714,31.66666667,28.49444444,24.44444444,6.48,79.15714286,18
2013-w44,2.695714286,31.66666667,27.89444444,25,7.37,77.65714286,13
2013-w45,16.76428571,35,27.35,26.11111111,14.53,81.67142857,8
2013-w46,2.111428571,38.88888889,28.33333333,26.11111111,7.83,80.32857143,16
2013-w47,9.121428571,31.11111111,25.4,25.55555556,11.02,78.2,10
2013-w48,1.228571429,37.22222222,27.35555556,25.55555556,10.82,80.91428571,9
2013-w49,3.062857143,31.66666667,28.02222222,25.55555556,9.49,81.81428571,6
2013-w50,1.258571429,32.22222222,27.73888889,26.11111111,9.32,80.37142857,4
2013-w51,2.498571429,32.22222222,28.14444444,25.55555556,5.8,82.54285714,11
2013-w52,1.304285714,31.11111111,27.77777778,25.55555556,6.37,87.22857143,10
2014-w1,0.8542857143,29.44444444,26.62777778,24.44444444,8.45,85.41428571,7
2014-w2,12.63,30,26.73888889,25,10.62,83.15714286,10
2014-w3,2.77,28.33333333,25.36666667,23.88888889,13.68,75.94285714,6
2014-w4,0,29.44444444,24.84444444,23.88888889,12.88,73.92857143,7
2014-w5,10.80857143,29.44444444,25.71666667,22.22222222,10.16,81.18571429,5
2014-w6,0.3342857143,30,26.61666667,22.77777778,3.1,83.64285714,7
2014-w7,0.05142857143,30.55555556,26.63888889,22.77777778,6.19,79.02857143,4
2014-w8,0.07857142857,30,25.61666667,23.88888889,10.75,76.94285714,10
2014-w9,0,30,26.80555556,23.33333333,7.43,74.71428571,6
2014-w10,0,30,27.56666667,25,5.79,76.01428571,2
2014-w11,14.13,31.11111111,27.14444444,25,8.96,81.54285714,9
2014-w12,1.76,31.66666667,27.77222222,25,8.91,81.21428571,1
2014-w13,0.09857142857,31.11111111,27.47777778,25,9.08,81.64285714,5
2014-w14,0,32.77777778,27.81666667,26.11111111,9.34,77.74285714,2
2014-w15,12.27857143,31.66666667,28.67777778,26.11111111,5.99,80.62857143,5
2014-w16,9.418571429,30.55555556,27.48888889,25,7.53,81.15714286,2
2014-w17,6.658571429,32.22222222,28.30555556,25.55555556,5.24,79.22857143,5
2014-w18,0.3342857143,32.77777778,28.68333333,23.33333333,8.81,76.38571429,9
2014-w19,1.93,33.88888889,29.87777778,26.66666667,5.79,77,6
2014-w20,2.288571429,33.88888889,30.01111111,25,5.48,75.94285714,10
2014-w21,3.827142857,33.88888889,29.98333333,25.55555556,6.13,77.77142857,4
2014-w22,5.415714286,33.33333333,29.48888889,26.11111111,3.75,78,6
2014-w23,5.908571429,33.33333333,29.78888889,26.11111111,3.07,80.97142857,7
2014-w24,11.97285714,32.77777778,28.15,25.55555556,6.03,81.52857143,14
2014-w25,10.95285714,32.77777778,28.18333333,23.88888889,2.92,83.31428571,21
2014-w26,14.90857143,32.77777778,27.94444444,25,3.61,80.9,56
2014-w27,21.02,32.77777778,27.28333333,25,5.72,81.55714286,28
2014-w28,15.96,32.77777778,28.21111111,25,4.46,83.3,35
2014-w29,18.32857143,32.22222222,27.55,24.44444444,5.39,84.24285714,44
2014-w30,13.21714286,32.22222222,27.59444444,25,4.55,83.82857143,45
2014-w31,8.64,31.11111111,27.90555556,25,4.49,80.84285714,47
2014-w32,0.42,32.77777778,29.12777778,25.55555556,3.9,76.58571429,51
2014-w33,11.76857143,32.77777778,27.88333333,25.55555556,7.77,81.65714286,43
2014-w34,7.96,31.66666667,27.69444444,25,3.55,86.5,52
2014-w35,10.09,32.22222222,27.40555556,23.88888889,3.4,83.47142857,42
2014-w36,21.60142857,31.66666667,26.45555556,24.44444444,5.68,85.68571429,36
2014-w37,14.82714286,32.22222222,27.64444444,24.44444444,3.04,83.27142857,24
2014-w38,11.28142857,32.22222222,27.58888889,23.88888889,6.43,82.41428571,26
2014-w39,3.361428571,32.22222222,28.5,25,3.82,80.91428571,18
2014-w40,10.43,32.22222222,28.37222222,25,3.77,81.14285714,9
2014-w41,21.38714286,31.66666667,26.57777778,24.44444444,4.04,86.17142857,13
2014-w42,5.838571429,32.22222222,27.86111111,25,5.84,84.68571429,8
2014-w43,1.368571429,31.66666667,28.09444444,25,3.13,81.81428571,3
2014-w44,1.141428571,32.77777778,28.73333333,25,6.52,79.32857143,2
2014-w45,0.03285714286,31.66666667,27.85555556,26.11111111,7.75,73.18571429,8
2014-w46,0.9542857143,32.22222222,27.86666667,26.11111111,10.36,81.87142857,5
2014-w47,0.4985714286,32.22222222,27.97777778,25.55555556,10.13,80.97142857,3
2014-w48,10.49714286,32.77777778,28.21111111,25.55555556,9.04,83.84285714,7
2014-w49,6.517142857,31.66666667,28.04444444,25,10.17,82.5,1
2014-w50,2.232857143,31.66666667,27.09444444,23.88888889,9.82,84.87142857,6
2014-w51,2.631428571,31.66666667,26.92777778,23.33333333,9.68,83.81428571,2
2014-w52,7.89,30.55555556,27.25555556,24.44444444,9.02,84.51428571,3
2015-w1,0.75,29.44444444,25.87777778,24.44444444,15.37,84.18571429,13
2015-w2,0.6628571429,29.44444444,25.78333333,24.44444444,11,82.25714286,5
2015-w3,1.39,29.44444444,26.09444444,16.11111111,12.13,82.65714286,0
2015-w4,2.738571429,30,25.65,22.77777778,8.49,81.75714286,5
2015-w5,0.4314285714,29.44444444,26.6,24.44444444,9.11,80.84285714,8
2015-w6,0.1171428571,29.44444444,26.52222222,24.44444444,12.47,81.85714286,5
2015-w7,0.65,30,26.21666667,24.44444444,8.86,82.07142857,6
2015-w8,0.1442857143,30.55555556,26.94444444,22.77777778,7.51,76.64285714,2
2015-w9,0.2414285714,30.55555556,26.75555556,15,7.45,81.07142857,3
2015-w10,0.01714285714,30,27.08888889,24.44444444,7.45,80.48571429,9
2015-w11,0.05857142857,30,25.68333333,23.33333333,12.96,75.15714286,8
2015-w12,0.1314285714,30,27.15555556,24.44444444,5.13,81.12857143,5
2015-w13,0.4285714286,32.22222222,28.18333333,25,7.95,80,2
2015-w14,0.1442857143,31.11111111,28.2,25.55555556,5.22,78.35714286,8
2015-w15,0.8642857143,31.66666667,28.31666667,23.88888889,7.72,79.01428571,5
2015-w16,0.4257142857,32.22222222,28.46111111,25,6.68,78.21428571,1
2015-w17,0.5285714286,32.22222222,29.17222222,26.66666667,6.34,78.6,3
2015-w18,4.121428571,33.33333333,29.21111111,25.55555556,6.44,78.15714286,6
2015-w19,0.2885714286,32.77777778,29.42222222,25.55555556,4.63,76.68571429,4
2015-w20,0.5357142857,32.77777778,28.78333333,26.11111111,5.36,76.31428571,11
2015-w21,2.105714286,33.33333333,29.61666667,25.55555556,3.84,76.67142857,5
2015-w22,1.432857143,34.44444444,30.35555556,26.11111111,3.7,74.21428571,4
2015-w23,3.26,34.44444444,30.06111111,25.55555556,4.84,77.58571429,5
2015-w24,7.091428571,33.33333333,29.50555556,26.11111111,2.84,80.48571429,7
2015-w25,13.26,32.22222222,27.54444444,25,2.97,80.94285714,7
2015-w26,13.66571429,32.22222222,28.46111111,24.44444444,2.57,80.35714286,13
2015-w27,27.32857143,32.22222222,27.02222222,25,3.4,81.55714286,16
2015-w28,9.03,33.33333333,28.03888889,25,8.66,82.94285714,12
2015-w29,2.004285714,32.77777778,27.85555556,25,5.63,78.88571429,30
2015-w30,5.761428571,32.77777778,27.51111111,24.44444444,6.09,79.58571429,16
2015-w31,9.114285714,32.22222222,28.21666667,23.33333333,2.47,81.52857143,16
2015-w32,14.23285714,32.22222222,27.65,25,5.25,84.47142857,16
